ID,1,2,3,4,5,Model,Polarization
61314,0,13,25,43,19,comete α=2 β=2,0.35815582167049453
71480,0,16,7,50,27,comete α=2 β=2,0.35624567058628376
72021,0,16,14,66,4,comete α=2 β=2,0.2427144255591356
89583,0,21,18,5,56,comete α=2 β=2,0.5217641355983677
91243,0,21,56,12,11,comete α=2 β=2,0.26364539030899803
117549,0,31,4,64,1,comete α=2 β=2,0.39217501773710484
165087,0,60,17,16,7,comete α=2 β=2,0.3029536622111576
171679,0,70,10,19,1,comete α=2 β=2,0.25785542528594724
177979,1,0,11,83,5,comete α=2 β=2,0.07387757344589241
184425,1,1,29,59,10,comete α=2 β=2,0.21633731396970962
195819,1,3,61,30,5,comete α=2 β=2,0.21029492322752633
208421,1,6,35,55,3,comete α=2 β=2,0.24111768297737346
224251,1,10,15,35,39,comete α=2 β=2,0.37911338431777575
241541,1,14,41,20,24,comete α=2 β=2,0.44509638453631856
244568,1,15,28,10,46,comete α=2 β=2,0.5259461155966352
249608,1,16,65,17,1,comete α=2 β=2,0.1701738106395807
267666,1,22,18,24,35,comete α=2 β=2,0.5783549968916154
320556,1,45,32,1,21,comete α=2 β=2,0.4947619952793489
335941,1,58,19,7,15,comete α=2 β=2,0.3760051321125817
355230,2,1,19,38,40,comete α=2 β=2,0.33828682775060576
373880,2,5,18,20,55,comete α=2 β=2,0.3295901672619056
388636,2,8,47,5,38,comete α=2 β=2,0.4986875538772345
407676,2,13,31,10,44,comete α=2 β=2,0.5243122615675595
416586,2,16,1,72,9,comete α=2 β=2,0.22372064929800914
442650,2,24,8,27,39,comete α=2 β=2,0.5800870583931661
488680,2,45,30,14,9,comete α=2 β=2,0.36257843084408836
491762,2,47,47,2,2,comete α=2 β=2,0.2544721250967847
504644,2,60,2,26,10,comete α=2 β=2,0.41288865520603435
537319,3,4,46,9,38,comete α=2 β=2,0.4926657034403995
538838,3,5,3,76,13,comete α=2 β=2,0.12223042885768201
569591,3,12,35,11,39,comete α=2 β=2,0.5307498493771999
576375,3,14,25,14,44,comete α=2 β=2,0.5162269050762579
603408,3,22,50,8,17,comete α=2 β=2,0.3599559832514645
608911,3,24,44,0,29,comete α=2 β=2,0.5191101744164313
611857,3,25,52,11,9,comete α=2 β=2,0.2748124463804846
629803,3,33,13,40,11,comete α=2 β=2,0.5033523666602747
631667,3,34,8,42,13,comete α=2 β=2,0.5153897981515478
643131,3,40,8,14,35,comete α=2 β=2,0.718580221693051
644751,3,41,6,32,18,comete α=2 β=2,0.572973703987277
650743,3,45,1,24,27,comete α=2 β=2,0.6447029527953463
674010,3,73,1,9,14,comete α=2 β=2,0.2983785941078724
677558,4,0,6,90,0,comete α=2 β=2,0.07411864492804934
680760,4,0,55,9,32,comete α=2 β=2,0.43791877971667403
683707,4,1,24,25,46,comete α=2 β=2,0.403763709891843
686700,4,2,4,16,74,comete α=2 β=2,0.1597812313076529
695933,4,4,6,55,31,comete α=2 β=2,0.2518887073247262
708205,4,7,0,35,54,comete α=2 β=2,0.29171932354043006
712830,4,8,6,46,36,comete α=2 β=2,0.31485048465916093
720405,4,10,2,46,38,comete α=2 β=2,0.3302970966004459
723211,4,10,47,17,22,comete α=2 β=2,0.3997730052557863
760502,4,21,62,7,6,comete α=2 β=2,0.19538539119990334
768629,4,24,49,3,20,comete α=2 β=2,0.40545990198199783
790383,4,34,5,8,49,comete α=2 β=2,0.7007997544218676
815985,4,50,16,27,3,comete α=2 β=2,0.4152749054936191
883236,5,11,62,6,16,comete α=2 β=2,0.26991096064301345
911610,5,20,29,42,4,comete α=2 β=2,0.37716487255281506
930692,5,27,40,21,7,comete α=2 β=2,0.356493268341748
932176,5,28,17,50,0,comete α=2 β=2,0.4260636933795879
938518,5,31,9,28,27,comete α=2 β=2,0.6359430200325192
950502,5,37,12,4,42,comete α=2 β=2,0.7355219071362059
961178,5,44,2,33,16,comete α=2 β=2,0.5567641617553641
967371,5,48,38,4,5,comete α=2 β=2,0.274248742401951
1024715,6,9,14,52,19,comete α=2 β=2,0.29822548927860976
1047716,6,15,58,3,18,comete α=2 β=2,0.3219736255313957
1095785,6,35,5,29,25,comete α=2 β=2,0.6380125868432824
1104788,6,40,16,2,36,comete α=2 β=2,0.7224756369844889
1128340,6,65,0,14,15,comete α=2 β=2,0.3738836868267346
1130359,6,69,24,1,0,comete α=2 β=2,0.16159675862695222
1167165,7,8,8,75,2,comete α=2 β=2,0.17918641218664594
1191175,7,15,4,19,55,comete α=2 β=2,0.4363274007193981
1216137,7,23,43,17,10,comete α=2 β=2,0.35345760883298194
1233878,7,31,28,6,28,comete α=2 β=2,0.6349435827134169
1240358,7,35,3,8,47,comete α=2 β=2,0.7268491994821794
1241794,7,35,42,1,15,comete α=2 β=2,0.40000758415051524
1284771,8,1,83,1,7,comete α=2 β=2,0.12728094557389275
1290579,8,3,19,39,31,comete α=2 β=2,0.4016682788346016
1291595,8,3,35,39,15,comete α=2 β=2,0.3603433427335117
1313534,8,9,17,1,65,comete α=2 β=2,0.3778060785607829
1314643,8,9,36,8,39,comete α=2 β=2,0.5537456321517213
1325047,8,12,37,16,27,comete α=2 β=2,0.5189972724209321
1354537,8,22,43,2,25,comete α=2 β=2,0.5067124174523361
1417197,9,0,34,49,8,comete α=2 β=2,0.3148127863940387
1420411,9,1,18,67,5,comete α=2 β=2,0.22786683175358788
1432606,9,4,18,30,39,comete α=2 β=2,0.45358891126927625
1475423,9,16,66,3,6,comete α=2 β=2,0.19342154023873206
1494012,9,24,1,59,7,comete α=2 β=2,0.3977131402412603
1499954,9,26,27,14,24,comete α=2 β=2,0.6121743875186146
1514984,9,34,10,44,3,comete α=2 β=2,0.5035487409341821
1524638,9,40,19,0,32,comete α=2 β=2,0.6990652593013739
1532505,9,47,2,6,36,comete α=2 β=2,0.7302645465814276
1538526,9,53,18,12,8,comete α=2 β=2,0.32029590189762536
1543593,9,61,19,6,5,comete α=2 β=2,0.21317781139010625
1561302,10,3,4,45,38,comete α=2 β=2,0.3779151789967173
1575938,10,6,70,7,7,comete α=2 β=2,0.18189598301673893
1643696,10,32,28,21,9,comete α=2 β=2,0.4570323848733755
1646440,10,34,10,33,13,comete α=2 β=2,0.5634112560860052
1646561,10,34,13,16,27,comete α=2 β=2,0.6963762096857051
1654494,10,39,21,25,5,comete α=2 β=2,0.45467143643939284
1659273,10,43,11,9,27,comete α=2 β=2,0.6689860370055069
1675219,10,65,4,6,15,comete α=2 β=2,0.34487958795079104
1707781,11,7,40,40,2,comete α=2 β=2,0.34805380391020124
1722759,11,12,13,12,52,comete α=2 β=2,0.513120674432824
1743543,11,19,31,32,7,comete α=2 β=2,0.441077050557438
