ID,1,2,3,4,5,Model,Polarization
30505,0,6,12,20,62,ER α=1,0.302896
43257,0,9,5,0,86,ER α=1,0.29948
51805,0,11,6,9,74,ER α=1,0.33978
93882,0,22,39,11,28,ER α=1,0.3405
94939,0,23,3,17,57,ER α=1,0.44096
144540,0,44,3,30,23,ER α=1,0.448104
151736,0,48,28,14,10,ER α=1,0.310096
173055,0,73,11,11,5,ER α=1,0.293068
183147,1,1,13,37,48,ER α=1,0.27518
187413,1,2,5,82,10,ER α=1,0.161876
203508,1,5,29,48,17,ER α=1,0.25161
206597,1,6,10,31,52,ER α=1,0.29426
216110,1,8,19,26,46,ER α=1,0.311412
227558,1,11,5,57,26,ER α=1,0.279552
227992,1,11,11,2,75,ER α=1,0.393034
237458,1,13,35,21,30,ER α=1,0.308312
252453,1,17,43,6,33,ER α=1,0.377458
296052,1,32,54,0,13,ER α=1,0.30656
302071,1,35,27,21,16,ER α=1,0.308636
314437,1,42,1,48,8,ER α=1,0.44824
325561,1,49,9,13,28,ER α=1,0.464068
326450,1,49,50,0,0,ER α=1,0.2501
330712,1,53,14,18,14,ER α=1,0.366576
340465,1,64,11,9,15,ER α=1,0.38387
348910,2,0,3,65,30,ER α=1,0.23832
357762,2,1,64,5,28,ER α=1,0.386916
375739,2,5,48,34,11,ER α=1,0.259736
388157,2,8,37,21,32,ER α=1,0.315392
394945,2,10,14,74,0,ER α=1,0.253728
456945,2,29,23,27,19,ER α=1,0.305068
463166,2,32,5,34,27,ER α=1,0.389656
493472,2,49,7,42,0,ER α=1,0.424508
516579,3,0,15,13,69,ER α=1,0.316002
520072,3,1,0,20,76,ER α=1,0.240516
521176,3,1,12,26,58,ER α=1,0.298128
530037,3,3,6,21,67,ER α=1,0.2925
547985,3,7,9,67,14,ER α=1,0.25012
551505,3,8,2,5,82,ER α=1,0.325936
563920,3,11,6,76,4,ER α=1,0.265916
567693,3,12,6,27,52,ER α=1,0.341304
590954,3,18,45,3,31,ER α=1,0.38391
608359,3,24,29,18,26,ER α=1,0.314804
614546,3,26,54,12,5,ER α=1,0.2466
632689,3,34,31,29,3,ER α=1,0.285782
670129,3,64,13,4,16,ER α=1,0.37688
671444,3,66,31,0,0,ER α=1,0.218448
680128,4,0,42,14,40,ER α=1,0.385328
685577,4,1,58,8,29,ER α=1,0.383304
697322,4,4,24,31,37,ER α=1,0.29962
735661,4,14,8,45,29,ER α=1,0.305544
741139,4,15,44,11,26,ER α=1,0.325348
745473,4,17,3,46,30,ER α=1,0.33456
772372,4,26,12,32,26,ER α=1,0.333648
818828,4,53,6,9,28,ER α=1,0.488384
819542,4,53,38,3,2,ER α=1,0.254652
833182,4,82,11,2,1,ER α=1,0.162164
875026,5,9,40,44,2,ER α=1,0.270068
876915,5,10,9,67,9,ER α=1,0.281482
880033,5,11,2,13,69,ER α=1,0.3895
895831,5,15,27,30,23,ER α=1,0.28045
911533,5,20,28,13,34,ER α=1,0.349716
943546,5,33,27,30,5,ER α=1,0.28873
988502,6,0,33,49,12,ER α=1,0.27324
1002577,6,3,49,3,39,ER α=1,0.446496
1010452,6,5,38,29,22,ER α=1,0.28708
1015585,6,6,68,10,10,ER α=1,0.263648
1023356,6,8,67,16,3,ER α=1,0.231512
1024728,6,9,14,65,6,ER α=1,0.283816
